Customer ID,Gender,Age,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,City Tier
101,0,29,3,1120.2,14,4.6,1,25,2,2
102,1,34,2,780.5,11,4.1,0,18,1,2
103,0,43,1,510.75,9,3.4,1,42,0,1
104,1,30,3,1480.3,19,4.7,0,12,2,3
105,1,27,2,720.4,13,4.0,1,55,0,1
106,0,37,1,440.8,8,3.1,0,22,1,1
107,0,31,3,1150.6,15,4.5,1,28,2,2
108,1,35,2,800.9,12,4.2,0,14,1,2
109,0,41,1,495.25,10,3.6,1,40,0,1
110,1,28,3,1520.1,21,4.8,0,9,2,3
111,1,32,2,690.3,11,3.8,1,34,0,1
112,0,36,1,470.5,7,3.2,0,20,1,1
113,0,30,3,1200.8,16,4.3,1,21,2,2
114,1,33,2,820.75,13,4.4,0,15,2,2
115,0,42,1,530.4,9,3.5,1,38,0,1
116,1,29,3,1360.2,18,4.9,0,11,2,3
117,1,26,2,700.6,12,3.7,1,48,0,1
118,0,38,1,450.9,8,3.0,0,25,1,1
119,0,32,3,1170.3,14,4.7,1,29,2,2
120,1,34,2,790.2,11,4.0,0,16,1,2
121,0,43,1,505.75,10,3.3,1,41,0,1
122,1,30,3,1470.5,20,4.8,0,13,2,3
123,1,27,2,710.4,13,4.1,1,54,0,1
124,0,37,1,430.8,7,3.4,0,23,1,1
125,0,31,3,1140.6,15,4.6,1,27,2,2
126,1,35,2,810.9,12,4.3,0,13,1,2
127,0,41,1,485.25,9,3.6,1,39,0,1
128,1,28,3,1500.1,21,4.9,0,10,2,3
129,1,32,2,670.3,10,3.8,1,33,0,1
130,0,36,1,460.5,8,3.1,0,19,1,1
131,0,30,3,1190.8,16,4.5,1,20,2,2
132,1,33,2,830.75,13,4.2,0,14,2,2
133,0,42,1,520.4,9,3.5,1,37,0,1
134,1,29,3,1370.2,18,4.7,0,10,2,3
135,1,26,2,690.6,12,3.9,1,47,0,1
136,0,38,1,440.9,8,3.2,0,24,1,1
137,0,32,3,1160.3,14,4.4,1,22,2,2
138,1,34,2,800.2,11,4.1,0,17,1,2
139,0,43,1,500.75,10,3.3,1,40,0,1
140,1,30,3,1460.5,20,4.8,0,12,2,3
141,1,27,2,700.4,13,4.0,1,53,0,1
142,0,37,1,420.8,7,3.1,0,21,1,1
143,0,31,3,1130.6,15,4.5,1,26,2,2
144,1,35,2,820.9,12,4.3,0,12,1,2
145,0,41,1,480.25,9,3.6,1,38,0,1
146,1,28,3,1490.1,21,4.9,0,9,2,3
147,1,32,2,680.3,10,3.8,1,32,0,1
148,0,36,1,470.5,8,3.0,0,18,1,1
149,0,30,3,1180.8,16,4.7,1,19,2,2
150,1,34,2,790.2,11,4.0,0,15,1,2
151,0,43,1,505.75,10,3.3,1,39,0,1
152,1,30,3,1470.5,20,4.8,0,13,2,3
153,1,27,2,710.4,13,4.1,1,54,0,1
154,0,37,1,430.8,7,3.4,0,23,1,1
155,0,31,3,1140.6,15,4.6,1,27,2,2
156,1,35,2,810.9,12,4.3,0,13,1,2
157,0,41,1,485.25,9,3.6,1,39,0,1
158,1,28,3,1500.1,21,4.9,0,10,2,3
159,1,32,2,670.3,10,3.8,1,33,0,1
160,0,36,1,460.5,8,3.1,0,19,1,1
161,0,30,3,1190.8,16,4.5,1,20,2,2
162,1,33,2,830.75,13,4.2,0,14,2,2
163,0,42,1,520.4,9,3.5,1,37,0,1
164,1,29,3,1370.2,18,4.7,0,10,2,3
165,1,26,2,690.6,12,3.9,1,47,0,1
166,0,38,1,440.9,8,3.2,0,24,1,1
167,0,32,3,1160.3,14,4.4,1,22,2,2
168,1,34,2,800.2,11,4.1,0,17,1,2
169,0,43,1,500.75,10,3.3,1,40,0,1
170,1,30,3,1460.5,20,4.8,0,12,2,3
171,1,27,2,700.4,13,4.0,1,53,0,1
172,0,37,1,420.8,7,3.1,0,21,1,1
173,0,31,3,1130.6,15,4.5,1,26,2,2
174,1,35,2,820.9,12,4.3,0,12,1,2
175,0,41,1,480.25,9,3.6,1,38,0,1
176,1,28,3,1490.1,21,4.9,0,9,2,3
177,1,32,2,680.3,10,3.8,1,32,0,1
178,0,36,1,470.5,8,3.0,0,18,1,1
179,0,30,3,1180.8,16,4.7,1,19,2,2
180,1,34,2,790.2,11,4.0,0,15,1,2
181,0,43,1,505.75,10,3.3,1,39,0,1
182,1,30,3,1470.5,20,4.8,0,13,2,3
183,1,27,2,710.4,13,4.1,1,54,0,1
184,0,37,1,430.8,7,3.4,0,23,1,1
185,0,31,3,1140.6,15,4.6,1,27,2,2
186,1,35,2,810.9,12,4.3,0,13,1,2
187,0,41,1,485.25,9,3.6,1,39,0,1
188,1,28,3,1500.1,21,4.9,0,10,2,3
189,1,32,2,670.3,10,3.8,1,33,0,1
190,0,36,1,460.5,8,3.1,0,19,1,1
191,0,30,3,1190.8,16,4.5,1,20,2,2
192,1,33,2,830.75,13,4.2,0,14,2,2
193,0,42,1,520.4,9,3.5,1,37,0,1
194,1,29,3,1370.2,18,4.7,0,10,2,3
195,1,26,2,690.6,12,3.9,1,47,0,1
196,0,38,1,440.9,8,3.2,0,24,1,1
197,0,32,3,1160.3,14,4.4,1,22,2,2
198,1,34,2,800.2,11,4.1,0,17,1,2
199,0,43,1,500.75,10,3.3,1,40,0,1
200,1,30,3,1460.5,20,4.8,0,12,2,3
201,1,27,2,700.4,13,4.0,1,53,0,1
202,0,37,1,420.8,7,3.1,0,21,1,1
203,0,31,3,1130.6,15,4.5,1,26,2,2
204,1,35,2,820.9,12,4.3,0,12,1,2
205,0,41,1,480.25,9,3.6,1,38,0,1
206,1,28,3,1490.1,21,4.9,0,9,2,3
207,1,32,2,680.3,10,3.8,1,32,0,1
208,0,36,1,470.5,8,3.0,0,18,1,1
209,0,30,3,1180.8,16,4.7,1,19,2,2
210,1,34,2,790.2,11,4.0,0,15,1,2
211,0,43,1,505.75,10,3.3,1,39,0,1
